Name,Area90,Area50
../../injection_data/pe/realistic/inj_86.0_skymap.fits,15851.95,5101.86
../../injection_data/pe/realistic/inj_8.0_skymap.fits,17015.84,5762.59
../../injection_data/pe/realistic/inj_12.0_skymap.fits,117.30,23.88
../../injection_data/pe/realistic/inj_180.0_skymap.fits,16.14,4.46
../../injection_data/pe/realistic/inj_6.0_skymap.fits,184.05,22.82
../../injection_data/pe/realistic/inj_22.0_skymap.fits,81.18,18.16
../../injection_data/pe/realistic/inj_107.0_skymap.fits,177.38,9.40
../../injection_data/pe/realistic/inj_0.0_skymap.fits,1342.50,136.77
../../injection_data/pe/realistic/inj_191.0_skymap.fits,981.40,120.39
../../injection_data/pe/realistic/inj_181.0_skymap.fits,54.99,16.26
../../injection_data/pe/realistic/inj_24.0_skymap.fits,66.11,17.15
../../injection_data/pe/realistic/inj_171.0_skymap.fits,31.97,8.54
../../injection_data/pe/realistic/inj_60.0_skymap.fits,1225.58,130.83
../../injection_data/pe/realistic/inj_188.0_skymap.fits,1181.46,282.63
../../injection_data/pe/realistic/inj_10.0_skymap.fits,35.89,7.98
../../injection_data/pe/realistic/inj_14.0_skymap.fits,385.04,119.23
